playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary
lockeje01,2015,1,PIT,NL,8,11,30,30,0,0,0,505,179,84,15,60,129,0.27399999999999997,4.49,4.0,5,7.0,0,736.0,0,95,7.0,8.0,13.0,3025000.0
loganbo02,2015,1,COL,NL,0,3,60,0,0,0,0,106,40,17,3,17,44,0.28,4.33,1.0,3,5.0,0,168.0,12,17,1.0,2.0,1.0,6250000.0
lopezja02,2015,1,SFN,NL,1,0,77,0,0,0,0,118,19,7,1,16,26,0.145,1.6,3.0,1,0.0,0,147.0,14,8,0.0,0.0,6.0,5000000.0
lorenmi01,2015,1,CIN,NL,4,9,27,21,0,0,0,340,131,68,18,57,83,0.292,5.4,6.0,4,6.0,0,515.0,1,70,2.0,1.0,7.0,516500.0
loupaa01,2015,1,TOR,AL,2,5,60,0,0,0,0,127,47,21,6,7,46,0.275,4.46,0.0,0,6.0,0,186.0,6,24,2.0,0.0,3.0,1050000.0
lowema01,2015,1,SEA,AL,0,1,34,0,0,0,0,108,31,4,1,11,47,0.235,1.0,1.0,2,1.0,0,144.0,8,6,0.0,0.0,3.0,5500000.0
lowema01,2015,2,TOR,AL,1,2,23,0,0,0,1,57,15,8,3,1,14,0.22399999999999998,3.79,0.0,0,0.0,0,71.0,5,9,0.0,2.0,2.0,5500000.0
lylesjo01,2015,1,COL,NL,2,5,10,10,0,0,0,147,54,28,2,19,30,0.29,5.14,1.0,2,3.0,0,212.0,0,32,3.0,1.0,10.0,2975000.0
lynnla01,2015,1,SLN,NL,12,11,31,31,0,0,0,526,172,59,13,68,167,0.258,3.03,5.0,2,5.0,0,751.0,0,66,9.0,2.0,16.0,7500000.0
lyonsty01,2015,1,SLN,NL,3,1,17,8,0,0,0,180,59,25,12,15,60,0.252,3.75,0.0,4,1.0,0,255.0,1,29,3.0,2.0,4.0,512500.0
madsory01,2015,1,KCA,AL,1,2,68,0,0,0,3,190,47,15,5,14,58,0.205,2.13,1.0,1,2.0,0,248.0,12,17,0.0,3.0,4.0,6666667.0
manesse01,2015,1,SLN,NL,4,2,76,0,0,0,3,190,77,30,7,13,46,0.307,4.26,4.0,2,1.0,0,270.0,13,35,4.0,1.0,11.0,1400000.0
manshje01,2015,1,CLE,AL,1,0,32,0,0,0,0,118,20,4,1,10,33,0.155,0.92,0.0,0,1.0,0,144.0,7,4,0.0,4.0,5.0,765000.0
martica04,2015,1,SLN,NL,14,7,31,29,0,0,0,539,168,60,13,63,184,0.25,3.01,5.0,8,8.0,1,755.0,1,65,9.0,4.0,19.0,539000.0
matusbr01,2015,1,BAL,AL,1,4,58,0,0,0,0,147,38,16,5,20,56,0.21100000000000002,2.94,3.0,2,3.0,0,206.0,16,18,2.0,1.0,4.0,3900000.0
